X,Y,Z,,
784.6624,87.9667,1005.9594,,
785.6433,87.8771,1005.9626,,
786.6242,87.7801,1005.9659,,
787.6051,87.6760,1005.9691,,
788.5860,87.5647,1005.9723,,
789.5669,87.4465,1005.9756,,
790.5478,87.3214,1005.9788,,
791.5287,87.1895,1005.9820,,
792.5096,87.0511,1005.9853,,
793.4904,86.9062,1005.9885,,
794.4713,86.7550,1005.9918,,
795.4522,86.5976,1005.9950,,
796.4331,86.4343,1005.9982,,
797.4140,86.2651,1006.0015,,
798.3949,86.0902,1006.0047,,
799.3758,85.9099,1006.0079,,
800.3567,85.7243,1006.0112,,
801.3376,85.5336,1006.0144,,
802.3185,85.3380,1006.0177,,
803.2994,85.1377,1006.0209,,
804.2803,84.9329,1006.0241,,
805.2611,84.7239,1006.0274,,
806.2420,84.5107,1006.0306,,
807.2229,84.2937,1006.0338,,
808.2038,84.0730,1006.0371,,
809.1847,83.8490,1006.0403,,
810.1656,83.6218,1006.0435,,
811.1465,83.3916,1006.0468,,
812.1274,83.1587,1006.0500,,
813.1083,82.9234,1006.0533,,
814.0892,82.6858,1006.0565,,
815.0701,82.4462,1006.0597,,
816.0510,82.2049,1006.0630,,
817.0318,81.9622,1006.0662,,
818.0127,81.7181,1006.0694,,
818.9936,81.4731,1006.0727,,
819.9745,81.2273,1006.0759,,
820.9554,80.9811,1006.0792,,
821.9363,80.7346,1006.0824,,
822.9172,80.4881,1006.0856,,
823.8981,80.2419,1006.0889,,
824.8790,79.9962,1006.0921,,
825.8599,79.7513,1006.0953,,
826.8408,79.5074,1006.0986,,
827.8217,79.2648,1006.1018,,
828.8025,79.0237,1006.1050,,
829.7834,78.7844,1006.1083,,
830.7643,78.5471,1006.1115,,
831.7452,78.3120,1006.1148,,
832.7261,78.0795,1006.1180,,
833.7070,77.8497,1006.1212,,
834.6879,77.6228,1006.1245,,
835.6688,77.3992,1006.1277,,
836.6497,77.1790,1006.1309,,
837.6306,76.9624,1006.1342,,
838.6115,76.7498,1006.1374,,
839.5924,76.5412,1006.1407,,
840.5732,76.3370,1006.1439,,
841.5541,76.1372,1006.1471,,
842.5350,75.9422,1006.1504,,
843.5159,75.7522,1006.1536,,
844.4968,75.5672,1006.1568,,
845.4777,75.3876,1006.1601,,
846.4586,75.2135,1006.1633,,
847.4395,75.0450,1006.1665,,
848.4204,74.8824,1006.1698,,
849.4013,74.7258,1006.1730,,
850.3822,74.5754,1006.1763,,
851.3631,74.4313,1006.1795,,
852.3439,74.2936,1006.1827,,
853.3248,74.1626,1006.1860,,
854.3057,74.0384,1006.1892,,
855.2866,73.9210,1006.1924,,
856.2675,73.8106,1006.1957,,
857.2484,73.7074,1006.1989,,
858.2293,73.6113,1006.2022,,
859.2102,73.5226,1006.2054,,
